The Great Train Robbery
The Razor's Edge
W. Somerset Maugham's The Razor's Edge
Shock
The Stranger
Date with Destiny
Terror by Night
Sherlock Holmes: Terror by Night
Undercurrent
You Were There
The Perfect Case
Boomerang!
Laura Z. Hobson's Gentleman's Agreement
Gentleman's Agreement
The Ghost and Mrs. Muir
The Long Night
A Time to Kill
My Favorite Brunette
The Private Eye
Out of the Past
Build My Gallows High
No Trespassing
The Red House
Easter Parade
Irving Berlin's Easter Parade
Force of Evil
The Numbers Racket
The Story of Tucker's People
Tucker's People
He Walked by Night
The L.A. Investigator
Twenty-Nine Clues
Hollow Triumph
The Man Who Murdered Himself
The Scar
Johnny Belinda
Letter from an Unknown Woman
Mr. Blandings Builds His Dream House
Oliver Twist
Rope
Alfred Hitchcock's Rope
Alexandre Dumas' The Three Musketeers
The Three Musketeers
Symphony Story
Unfaithfully Yours
Unfinished Symphony
Adam's Rib
Man and Wife
All the King's Men
The Fountainhead
The Heiress
Howard Hawks' I Was a Male War Bride
I Was a Male War Bride
Impact
Tension
The 3rd Man
The Third Man
Tokyo Joe
Killer Bait
Too Late for Tears
The Asphalt Jungle
The Asphalt Jungle (The City Under the City)
Born Yesterday
Arrow
War Paint
Broken Arrow
Blood Brothers
Caged
The Damned Don't Cry
The Victim
Father of the Bride
King Solomon's Mines
Rashômon
Rashomon
Sunset Blvd.
Sunset Boulevard
A Can of Beans
Wagonmaster
Wagon Master
Where Danger Lives
White Rose for Julie
Night Cry
Where the Sidewalk Ends
Winchester '73
Montana Winchester
The Browning Version
The Day the Earth Stood Still
Farewell to the Master
Journey to the World
Dark Highway
Mad with Much Heart
On Dangerous Ground
The Racket
Clash by Night
Cecil B. DeMille's The Greatest Show on Earth
The Greatest Show on Earth
High Noon
The Lavender Hill Mob
Road to Bali
The Road to Hollywood
Singin' in the Rain
Umberto D.
The Band Wagon
I Love Louisa
The Bigamist
The Blue Gardenia
Dangerous Crossing
From Here to Eternity
William A. Wellman's Island in the Sky
Island in the Sky
Mogambo
Niagara
Phantom from Space
Roman Holiday
Stalag 17
Nearer My God to Thee
Titanic
Tôkyô monogatari
Tokyo Story
Ugetsu monogatari
Tales of a Pale and Mysterious Moon After the Rain
Tales of Ugetsu
Ugetsu
Black Lagoon
Creature from the Black Lagoon
Crime Wave
Don't Cry, Baby
The City Is Dark
Diabolique
The Devils
Les diaboliques
Executive Suite
Gojira
Godzilla
Killers from Space
Seven Brides for Seven Brothers
Them!
Them
This Island Earth
Bloodlust in Outer Space
This Island, Earth
East of Eden
John Steinbeck's East of Eden
It Came from Beneath the Sea
Monster from Beneath the Sea
Killer's Kiss
Kiss Me, Kill Me
The Man from Laramie
The Man with the Golden Arm
Marty
The Night of the Hunter
Rebel Without a Cause
Return of the Creature
Revenge of the Creature
Return of the Creature from the Black Lagoon
Smiles of a Summer Night
Sommarnattens leende
Summertime
David Lean's Production of Summertime
The Giant Tarantula
Tarantula!
Tarantula
The Trouble with Harry
Alfred Hitchcock's The Trouble with Harry
Around the World in 80 Days
Michael Todd's Around the World in 80 Days
Le ballon rouge
The Red Balloon
The Wrong Kind of Girl
Bus Stop
The Fastest Gun Alive
Fatal Planet
Forbidden Planet
Indestructible Man
The Man Who Never Was
7 Men from Now
War and Peace
X the Unknown
The Black Scorpion
The Deadly Mantis
The Giant Mantis
The Incredible Praying Mantis
Decision at Sundown
Gunfight at the O.K. Corral
The Incredible Shrinking Man
Love in the Afternoon
The Jagged Edge
The Monster That Challenged the World
Peyton Place
Jerry Wald's Production of Peyton Place
The Captives
The Tall T
The Tall Rider
The 7th Voyage of Sinbad
The Bravados
Cat on a Hot Tin Roof
Gigi
The Parisians
The House on Haunted Hill
House on Haunted Hill
Killer at Large
Killer on the Wall
I Bury the Living
Hidden Fortress
The Three Villains of the Hidden Fortress
The Hidden Fortress
Kakushi-toride no san-akunin
Man of the West
Some Came Running
South Pacific
From Among the Dead
Darkling I Listen
Illicit Darkening
Alfred Hitchcock's Vertigo
Vertigo
'Vertigo'
Fear and Trembling
The Bat
William Wyler's Ben-Hur
Ben-Hur: A Tale of the Christ
Ben-Hur
Compulsion
Mania
The Flesh and the Fiends
Psycho Killers
The Fiendish Ghouls
The Horse Soldiers
The Killer Shrews
The Attack of the Killer Shrews
The Mouse That Roared
The CIA Story
Alfred Hitchcock's North by Northwest
North by Northwest
In a North West Direction
In a Northwesterly Direction
The Man in Lincoln's Nose
Breathless
On the Beach
Black Orpheus
Orfeu Negro
Orfeu do Carnaval
Pillow Talk
The 400 Blows
Les quatre cents coups
The Four Hundred Blows
Sleeping Beauty
Suddenly, Last Summer
The Tingler
The Alamo
L'Avventura
L'avventura
The Virgin Spring
Jungfrukällan
Ocean's 11
Ocean's Eleven
Saturday Night and Sunday Morning
Tirez sur le pianiste
Shoot the Piano Player
Bloodlust!
Breakfast at Tiffany's
The Infamous
The Children's Hour
Infamous!
The Guns of Navarone
Carl Foreman's Production The Guns of Navarone
Jules et Jim
Jules and Jim
Lover Come Back
101 Dalmatians
Walt Disney's 101 Dalmatians
One Hundred and One Dalmatians
The Parent Trap
Through a Glass Darkly
Såsom i en spegel
Viridiana
The 300 Spartans
Lion of Sparta
Advise & Consent
The Day of the Triffids
Invasion of the Triffids
Lolita
The Man Who Shot Liberty Valance
Panic in Year Zero
End of the World
Survival
The End of the World
Sweet Bird of Youth
That Touch of Mink
The Birds
Alfred Hitchcock's The Birds
The Blood Feast
Blood Feast
Feast of Flesh
Egyptian Blood Feast
Charade
A Delicate Balance of Terror
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Dr. Strangelove
Edge of Doom
From Russia with Love
Irma la Douce
Lord of the Flies
The Nutty Professor
The Prize
The Trial
Le procès
The Long Corridor
Shock Corridor
Straightjacket
International Affair
International Hotel
The V.I.P.s
Bande à part
Band of Outsiders
The Fall of the Roman Empire
How to Murder Your Wife
Marnie
Alfred Hitchcock's Marnie
For a Fistful of Dollars
A Fistful of Dollars
A Fist Full of Dollars
Per un pugno di dollari
Rudolph the Red-Nosed Reindeer
Santa Claus Defeats the Aliens
Santa Claus Conquers the Martians
Blood and Black Lace
6 donne per l'assassino
Topkapi
The Damned Walk at Midnight
The Last Man on Earth
The Naked Terror
Viva Las Vegas
Only Girl in Town
Zulu
The Agony and the Ecstasy
Irving Stone's The Agony and the Ecstasy
Battle of the Bulge
The Collector
Doctor Zhivago
The Greatest Story Ever Told
George Stevens Presents The Greatest Story Ever Told
Help!
Major Dundee
A Patch of Blue
The Haunted Planet
Terrore nello spazio
Planet of Blood
Space Mutants
The Demon Planet
The Haunted World
Planet of the Vampires
Terror in Space
The Planet of Terror
The Outlawed Planet
The Planet of the Damned
The Train
John Frankenheimer's The Train
What's New Pussycat
Andrey Rublev
Andrei Rublev
How the Grinch Stole Christmas!
Dr. Seuss' How the Grinch Stole Christmas!
Jesse James Meets Frankenstein's Daughter
Jesse James Meets Frankenstein
Operazione paura
Kill, Baby... Kill!
Operation Fear
Kill Baby Kill
Don't Walk in the Park
Curse of the Living Dead
Persona
Stanley Donen's Bedazzled
Bedazzled
Belle de jour
Belle de Jour
Guess Who's Coming to Dinner
The Jungle Book
Playtime
Play Time
Reflections in a Golden Eye
Thoroughly Modern Millie
Valley of the Dolls
Wait Until Dark
The War Wagon
Two Thousand and One: A Space Odyssey
2001: A Space Odyssey
Journey Beyond the Stars
How the Solar System Was Won
Chitty Chitty Bang Bang
Funny Girl
Il grande silenzio
The Big Silence
The Great Silence
Oliver!
Mel Brooks' The Producers
Springtime for Hitler
The Producers
Romeo and Juliet
William Shakespeare's Romeo and Juliet
Spirits of the Dead
Histoires extraordinaires
Toby Dammit
Anne of a Thousand Days
Anne of the Thousand Days
The Battle of Britain
Battle of Britain
Once Upon a Time in the West
There Was Once the West
C'era una volta il West
Colossus: The Forbin Project
The Forbin Project
The Day the World Changed Hands
As Man to Man
Da uomo a uomo
Death Rides a Horse
Mackenna's Gold
Ian Fleming's On Her Majesty's Secret Service
On Her Majesty's Secret Service
They Shoot Horses, Don't They?
L'uccello dalle piume di cristallo
The Phantom of Terror
Point of Terror
The Bird with the Crystal Plumage
Z
Airport
The Ballad of Cable Hogue
Frankenstein Must Be Destroyed
Il gatto a nove code
The Cat o' Nine Tails
Cat o' Nine Tails
The House That Dripped Blood
The Out of Towners
The Out-of-Towners
The Private Life of Sherlock Holmes
10 Rillington Place
Diamonds Are Forever
Ian Fleming's Diamonds Are Forever
Secret of the Planet of the Apes
Escape from the Planet of the Apes
Giù la testa
A Fistful of Dynamite
Duck, You Sucker
Hands of the Ripper
Harold and Maude
Hyper-Phobia
I Drink Your Blood
Phobia
State Farm
The Last Picture Show
The Law Man
Lawman
Let's Scare Jessica to Death
What Killed Sam Dorker?
Lizard in a Woman's Skin
A Lizard in a Woman's Skin
Una lucertola con la pelle di donna
Schizoid
The Panic in Needle Park
Psychomania
The Living Dead
The Death Wheelers
The Frog
Scars of Dracula
The Scars of Dracula
See No Evil
Shaft
Two-Lane Blacktop
Walkabout
Asylum
House of Crazies
Avanti!
Blacula
Boxcar Bertha
Raw Meat
Death Line
What Are Sex Perverts?
Are Transvestites Homosexuals?
Why Do Some Women Have Trouble Reaching an Orgasm?
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask
Do Aphrodisiacs Work?
Everything You Always Wanted to Know About Sex
What Makes a Man a Homosexual?
What Is Sodomy?
Are the Findings of Doctors and Clinics Who Do Sexual Research and Experiments Accurate?
What Happens During Ejaculation?
Fritz the Cat
Mario Puzo's The Godfather
The Godfather
The Chinese Connection
Fist of Fury
Jing wu men
Laugh Track: Chinese Connection
Sleuth
Solyaris
Solaris
Tales from the Crypt
Cries & Whispers
Cries and Whispers
Viskningar och rop
A Glimpse of Tiger
What's Up, Doc?
Colonization of the Planet of the Apes
Battle for the Planet of the Apes
The Day of the Jackal
Don't Be Afraid of the Dark
Il mio nome è Nessuno
My Name Is Nobody
The Last Detail
The Last of Sheila
The Legend of Hell House
The Seven Brothers Meet Dracula
The Legend of the 7 Golden Vampires
7 Brothers Versus Dracula
The 7 Brothers Meet Dracula
7 Brothers and a Sister Meet Dracula
Pat Garrett and Billy the Kid
Pat Garrett & Billy the Kid
Serpico
The Vault of Horror
Further Tales from the Crypt
Tales from the Crypt, Part II
Zardoz
Black Werewolf
The Beast Must Die
Bring Me the Head of Alfredo Garcia
Vampire Castle
Kronos
Captain Kronos - Vampire Hunter
Chinatown
Messiah of Evil
Dead People
The Second Coming
Return of the Living Dead
Revenge of the Screaming Dead
Messiah of Evil: The Second Coming
Night of the Damned
Deranged
Deranged: Confessions of a Necrophile
Dersu Uzala
Earthquake
Flesh for Frankenstein
The Devil and Dr. Frankenstein
The Frankenstein Experiment
Up Frankenstein
Andy Warhol's Frankenstein
Frankenstein
Andy Warhol's Young Frankenstein
Lacombe, Lucien
Lacombe Lucien
Deathday
The Madhouse of Dr. Fear
Madhouse
The Return of the Pink Panther
The Sugarland Express
Carte Blanche
The Taking of Pelham One Two Three
Pelham
El tomar de Pelham uno dos tres
The Taking of Pelham 1 2 3
Young Frankenstein
Zerkalo
White, White Day
The Mirror
Barry Lyndon
The Devil's Rain
Dog Day Afternoon
French Connection II
Rudyard Kipling's The Man Who Would Be King
The Man Who Would Be King
Race with the Devil
The Rocky Horror Picture Show
The Stepford Wives
The Sunshine Boys
Neil Simon's The Sunshine Boys
Rocky
The Hex Massacre
Who Can Kill a Child?
Trapped
Island of the Damned
¿Quién puede matar a un niño?
Demon
God Told Me To
High Anxiety
Alice Sweet Alice
Alice, Sweet Alice
The Mask Murders
Communion
Holy Terror
The Incredible Melting Man
The Ghoul from Outer Space
Rabid
Rage
The Creeper
Rituals
Rolling Thunder
Tribal Rites of Saturday Night
Saturday Night
Saturday Night Fever
Sinbad at the World's End
Sinbad and the Eye of the Tiger
Snowbeast
Tentacles
Tentacoli
Blood Sucking Freaks
The Incredible Torture Show
Sardu
The House of the Screaming Virgins
Heritage of Caligula
Sardu, Master of the Screaming Virgins
Joel Reed's Bloodsucking Freaks
Sardu, Master Of The Theatre Of The Macabre
The Heritage of Caligula: An Orgy of Sick Minds
Bloodsucking Freaks
The Boys from Brazil
Coma
Buffalo Ghosts
Coming Home
Omen II
The Omen II: Damien
The Omen II
Damien: Omen II
Omen II: Damien
Days of Heaven
The Deer Hunter
The Man Who Came to Play
The Fury
Wes Craven's The Hills Have Eyes
The Hills Have Eyes
Blood Relations
The Family That Woke Up Screaming
Invasion of the Body Snatchers
The Body Snatchers
Martin
George A. Romero's Martin
Piranha
The Swarm
The Toolbox Murders
The Concorde... Airport '79
The Concorde
Airport '79, Supersonic
Airport '79
The Concorde: Airport '79
Chance
Being There
Breaking Away
Bambino
The Cutters
The Eagle of Naptown
The Brood
Ruggero Deodato's Cannibal Holocaust
Cannibal Holocaust
Saturn 3
The Helper
Kramer Versus Kramer
Kramer vs. Kramer
Manhattan
Meatballs
Summer Camp
Zombie 3
Island of the Last Zombies
Doctor Butcher
Medical Deviate
Zombi Holocaust
Doctor Butcher M.D.
Zombie Holocaust
Dr. Butcher, Medical Deviate
Dr. Butcher M.D.
Zombie
Island of the Flesh-Eaters
Zombie 2: The Dead are Among Us
Zombie Flesh Eaters
Zombi 2
The Warriors
When a Stranger Calls
9 to 5
Nine to Five
From 9 to 5
From Nine to Five
Kentucky Fried Airplane
Airplane!
Attack of the Killer Tomatoes!
The Big Red One
The Big Red One: The Reconstruction
Black Cat (Gatto nero)
The Blues Brothers
The Return of the Blues Brothers
Don't Go in the House
The Burning
Fame
Hot Lunch
Flash Gordon
John Carpenter's The Fog
The Fog
The Hearse
Humanoids from the Deep
Monster
Humanoids of the Deep
Beneath the Darkness
The Island
Agatha Christie's The Mirror Crack'd
The Mirror Crack'd
The Monster Club
Ordinary People
Twilight of the Dead
The Gates of Hell
City of the Living Dead
Paura nella città dei morti viventi
Popeye
Stardust Memories
Train of Terror
Terror Train
Arthur
Personal Effects
Blow Out
The Cropsy Maniac
Cropsy
Deadly Blessing
Death Wish II
Death Wish 2
Death Sentence
The Entity
The Final Conflict
Omen III: The Final Conflict
The Omen III
The Omen III: The Final Conflict
For Your Eyes Only
Happy Birthday to Me
Mad Max 2
Mad Max 2: The Road Warrior
The Road Warrior
Make Them Die Slowly
Cannibal Ferox
Cannibal ferox
My Bloody Valentine
Attack
Nighthawks
Hawks
Night Hawks
The Prowler
Most Likely to Die
Pitchfork Massacre
Raiders of the Lost Ark
Indiana Jones
The Adventures of Indiana Smith
Indiana Jones and the Raiders of the Lost Ark
Escape to Victory
Victory
Airplane II: The Sequel
Flying High II
Alone in the Dark
Amityville II: The Possession
The Beast Within
The Beastmaster
The Evil Dead
Into the Woods
Book of the Dead
Evil Dead
Sam Raimi's The Evil Dead
The Evil Dead, the Ultimate Experience in Grueling Horror
Fast Times at Ridgemont High
Fast Times
Fitzcarraldo
Friday the 13th Part 3: 3D
Friday the 13th Part III
Friday the 13th Part 3
Crystal Japan
Grease 2
Son of Grease
Night Shift
An Officer and a Gentleman
Porky's
The Slumberparty Massacre
Sleepless Nights
The Slumber Party Massacre
The Overnight Massacre
Don't Open the Door
Slumber Party Massacre
Slumberparty Massacre
The Snowman
Star Trek II: The War of the Generations
Star Trek II: The Wrath of Khan - The Director's Edition
Star Trek II: The Wrath of Khan
Star Trek II: The Undiscovered Country
The New Star Trek
Star Trek II
Star Trek II: The Vengeance of Khan
Tenebre
Tenebrae
Unsane
The Verdict
The World According to Garp
Blue Thunder
Christine
John Carpenter's Christine
Cujo
Jaws 3-D
Jaws III
Jaws 3
Jaws 3 People 0
The Keep
The King of Comedy
Koyaanisqatsi: Life Out of Balance
Koyaanisqatsi
Local Hero
The Man with Two Brains
National Lampoon's Vacation
Risky Business
Silkwood
Nightmare Vacation
Sleepaway Camp
Sudden Impact
Superman vs. Superman
Superman III
Trading Places
Black or White
X-tro
Xtro
The Chameleon Man
Zelig
The Changing Man
Identity Crisis and Its Relationship to Personality Disorder
The Cat's Pyjamas
Blood Simple
Footloose
Ghostbusters
Ghost Busters
Ghoststoppers
Ghostbreakers
The Last Starfighter
Missing in Action
A Nightmare on Elm Street
Nightmare on Elm Street
Nineteen Eighty-Four
1984
Once Upon a Time in America
A Passage to India
Dario Argento's Phenomena
Phenomena
Creepers
Police Academy
Red Dawn
Ten Soldiers
Repo Man
Romancing the Stone
Savage Streets
Star Trek III: In Search of Spock
Star Trek III: The Search for Spock
Star Trek: The Search for Spock
Star Trek III: Return to Genesis
Starman
John Carpenter's Starman
Back to the Future
Clue
Clue: The Movie
Death Wish III
Death Wish 3
Fletch
The Hills Have Eyes Part II
The Hills Have Eyes Part 2
Hobgoblins
Space Intruders
Space Vampires
Lifeforce
Peter Bogdanovich's Mask
Mask
Out of Africa
Prizzi's Honor
The Purple Rose of Cairo
The Adventures of the Devil in the Sky
Oz
Return to Oz
Runaway Train
Silver Bullet
Stephen King's Silver Bullet
Cycle of the Werewolf
Silverado
To Live and Die in L.A.
Called Home
Witness
Alien 2
Aliens
Alien II
Back to School
Cobra
Demons 2: The Nightmare Returns
Demons 2
Dèmoni 2... l'incubo ritorna
Demons 2: The Nightmare Is Back
Heartbreak Ridge
Howard the Duck
Howard
Jean de Florette
The Karate Kid Part II
Karate Kid II
Little Shop of Horrors
The Mission
The Money Pit
River's Edge
A Room with a View
Star Trek IV: The Voyage Home
Star Trek IV: The Adventure Continues
'Crocodile' Dundee II
Crocodile Dundee II
Beverly Hills Cop II
Nothing But The Truth
The Big Easy
Windy City
The Big Ea$y
Bloodsport
Death Wish 4: The Crackdown
Dirty Dancing
Dolls
The Doll
Empire of the Sun
The Gate
Good Morning, Vietnam
Sadomasochists from Beyond the Grave
Clive Barker's Hellraiser
Hellraiser
Mannequin
Perfect Timing
Near Dark
No Way Out
Deceit
Meet Me Half Way
Over the Top
Planes, Trains & Automobiles
Planes, Trains and Automobiles
Police Academy 4: Citizens on Patrol
Police Academy IV
The Princess Bride
Raising Arizona
Silent Night, Deadly Night 2
Silent Night, Deadly Night Part 2
Some Kinda Wonderful
Some Kind of Wonderful
Stakeout
Superman IV: The Quest for Peace
The Witches of Eastwick
Withnail and I
Withnail & I
After Death (Oltre la morte)
Zombie 4: After Death
Beetlejuice
Beetle Juice
The Maitlands
The Blob
Bull Durham
The Church
Cathedral of Demons
In the Land of the Demons
La chiesa
Demon Cathedral
Colors
Critters 2
Critters 2: The Main Course
The Dead Next Door
The Dead Pool
Dirty Harry in The Dead Pool
Eight Men Out
A Fish Called Wanda
Killer Klowns from Outer Space
Three Lives for Mississippi
Mississippi Burning
Monkey Shines
Ella
Monkey Shines: An Experiment in Fear
The Naked Gun
The Naked Gun: From the Files of Police Squad!
Police Squad!
Cinema Paradiso: The New Version
Nuovo Cinema Paradiso
Cinema Paradiso
Phantasm II
Poltergeist III
Poltergeist III: We're Back
Rain Man
The Serpent and the Rainbow
Sleepaway Camp 3: Teenage Wasteland
Sleepaway Camp III: Teenage Wasteland
Nightmare Vacation III
They Live
John Carpenter's They Live
Working Girl
Black Rain
Blind Fury
Saga; Tales from the Warrior Age
Spica
The Cook, the Thief, His Wife & Her Lover
Field of Dreams
Shoeless Joe
The New Ghostbusters Movie
Ghostbusters II
Ghostbusters II: River of Slime
Ghostbusters 2
The Last of the Ghostbusters
Halloween 5: The Revenge of Michael Myers
Halloween 5: Michael Myers' Revenge
Honey, I Shrunk the Kids
The Big Backyard
Teenie Weenies
Grounded
Indiana Jones 3
Indiana Jones and the Last Crusade
The Karate Kid Part III
Kickboxer
Leviathan
The Little Mermaid
The Little Mermaid 3D
A Nightmare on Elm Street: The Dream Child
A Nightmare on Elm St.: Dream Child
A Nightmare on Elm Street 5: The Dream Child
Pet Sematary
Pet Cemetery
Stephen King's Pet Sematary
Road House
Sea of Love
Star Trek V: The Final Frontier
The Set Up
Tango & Cash
The War of the Roses
Alice
Another 48 Hrs.
Arachnophobia
Back to the Future Part III
Three
The Bonfire of the Vanities
Child's Play 2
Cry-Baby
Darkman
Death Warrant
Dusted
Dick Tracy
Die Hard 2: Die Harder
Die Hard 2
58 Minutes
Flatliners
Graveyard Shift
Stephen King's Graveyard Shift
Dante's Inferno
Jacob's Ladder
Kindergarten Cop
King of New York
La Femme Nikita
Nikita
Presumed Innocent
Pump Up the Volume
Two Evil Eyes
Due occhi diabolici
Edgar Allan Poe
Wild at Heart
David Lynch's Wild at Heart
The Addams Family
Backdraft
Cape Fear
Da hong deng long gao gao gua
Raise the Red Lantern
Don't Tell Mom the Babysitter's Dead
The Real World
Drop Dead Fred
Fried Green Tomatoes
Highlander 2
Highlander 2: The Quickening
Highlander II: The Renegade Version
Highlander II
Highlander II: The Quickening
Hook
Hot Shots!
Hot Shots: An Important Movie!
A Kiss Before Dying
Naked Lunch
David Cronenberg's Naked Lunch
Out for Justice
The Price of Our Blood
Regarding Henry
Batman: The Animated Series
The Adventures of Batman & Robin
Batman
Candyman
Clive Barker's Candyman
Child's Play III
Child's Play 3
Cronos
La invención de Cronos
Chronos
The Soldier's Wife
The Crying Game
Trauma
Dario Argento's Trauma
Aura's Enigma
Damage
Final Analysis
Hellraiser III: Hell on Earth
Honeymoon in Vegas
Innocent Blood
The Last of the Mohicans
The Lawnmower Man
Stephen King's The Lawnmower Man
My Cousin Vinny
Patriot Games
Sneakers
Stop! Or My Mom Will Shoot
Last to Surrender
Dreadnought
Under Siege
The Age of Innocence
Bruce Campbell vs. Army of Darkness
The Army of Darkness
Army of Darkness: The Ultimate Experience in Medieval Horror
Army of Darkness
Evil Dead 3
The Medieval Dead
Benny & Joon
Money Men
Boiling Point
Carnosaur
Children of the Corn II: The Final Sacrifice
Children of the Corn: Deadly Harvest
Children of the Corn II
Fire in the Sky
Grumpy Old Men
Hard Target
Indecent Proposal
Jurassic Park
JP
Jurassic Park 3D
Manhattan Murder Mystery
The Piano
The Assassin
The Specialist
Point of No Return
Girl No. 5
Return of the Living Dead III
Return of the Living Dead 3
Return of the Living Dead Part III
Sliver
Striking Distance
Three Rivers
Wayne's World 2
Six of One
Friends
F·R·I·E·N·D·S
Insomnia Café
Friends Like These
Friends Like Us
Across the Hall
Airheads
The Client
Crumb
Disclosure
Mary Shelley's Frankenstein
The Hudsucker Proxy
Interview with the Vampire
Interview with the Vampire: The Vampire Chronicles
Killing Zoe
Legends of the Fall
King of the Jungle
The Lion King
The Lion King 3D
Muriel's Wedding
Naked Gun 33 1/3: The Final Insult
The Naked Gun III
Naked Gun 33 1/3: Just for the Record
Nell
Pulp Fiction
Black Mask
The Ref
The Santa Clause
Serial Mom
Speed
The Bus That Couldn't Slow Down
The Addiction
The American President
Day of Reckoning
Assassins
The Bridges of Madison County
Casino
Casper
Citizen X
The City of Lost Children
La cité des enfants perdus
No Worries
Clueless
I Was a Teenage Teenager
Congo
Cutthroat Island
Dead Man Walking
Die Hard: With a Vengeance
Die Hard 3
Simon Says
Die Hard: New York
Hackers
Halloween: The Curse of Michael Myers
Halloween 666: Curse of Michael Myers
Halloween 666: The Origin of Michael Myers
Halloween 6: The Curse of Michael Myers
Halloween: The Origin of Michael Myers
Halloween VI: The Curse of Michael Myers
Halloween 6
Halloween 6: Michael's Back
Hall6ween
Johnny Mnemonic
Fugitivo del futuro
Kôkaku Kidôtai
Armored Riot Police
Shell Mobile Force
Ghost in the Shell
Leprechaun 3
Mortal Kombat
Nick of Time
Nine Months
The Prophecy
Seraphim
Tank Girl
Things to Do in Denver When You're Dead
Virtuosity
Welcome to the Doll House
Welcome to the Dollhouse
Middle Child
Faggots and Retards
While You Were Sleeping
2 Days in the Valley
Aladdin and the King of Thieves
Shockwave
The Making of the Arrival
The Arrival
Beavis and Butt-Head Do America
Brassed Off!
Brassed Off
Breaking the Waves
The Cable Guy
Dead Drop
Chain Reaction
The Craft
Crash
The Crucible
Fear
No Fear
Flirting with Disaster
The Ghost and the Darkness
The Glimmer Man
Independence Day
ID4
Independence Day 3D
Jerry Maguire
Mars Attacks!
Michael
