Deborah Kara Unger
Casper Van Dien
Vince Vaughn
Paul Verhoeven
Gore Vidal
Jon Voight
Christopher Walken
Lesley Ann Warren
John Waters
Peter Weller
Billy Wilder
Gene Wilder
Michael Wincott
Debra Winger
Kate Winslet
Reese Witherspoon
Elijah Wood
Robin Wright
Michelle Yeoh
Sean Young
Billy Zane
Robert Zemeckis
David Raksin
Kareem Abdul-Jabbar
Ian Abercrombie
F. Murray Abraham
Jim Abrahams
Brooke Adams
Joey Lauren Adams
Casey Affleck
John Agar
Danny Aiello
Eddie Albert
Jane Alexander
Irwin Allen
Tim Allen
June Allyson
Néstor Almendros
Maria Conchita Alonso
Don Ameche
Leon Ames
Judith Anderson
Melissa Sue Anderson
Melody Anderson
Paul Thomas Anderson
Bibi Andersson
Dana Andrews
Michelangelo Antonioni
Christina Applegate
Michael Apted
Gregg Araki
Asia Argento
Dario Argento
Bess Armstrong
James Arness
Jack Arnold
Tom Arnold
Hal Ashby
Linden Ashby
Olivier Assayas
Mary Astor
Bille August
Jane Austen
Daniel Auteuil
Frankie Avalon
Roger Avary
John G. Avildsen
Jon Avnet
Lew Ayres
Burt Bacharach
Jim Backus
Angelo Badalamenti
John Badham
Diane Baker
Joe Don Baker
Ralph Bakshi
Bob Balaban
Michael Ballhaus
Martin Balsam
Olivia Barash
Javier Bardem
Clive Barker
Jean-Marc Barr
Raymond J. Barry
Lionel Barrymore
Richard Basehart
Jason Bateman
Kathy Bates
L. Frank Baum
Noah Baumbach
Lamberto Bava
Mario Bava
Anne Baxter
Ned Beatty
Warren Beatty
Harold Becker
Bonnie Bedelia
Jason Beghe
Ed Begley Jr.
Barbara Bel Geddes
Ralph Bellamy
Monica Bellucci
William Bendix
Annette Bening
Richard Benjamin
Constance Bennett
Joan Bennett
Jack Benny
Robert Benton
Peter Berg
Patrick Bergin
Andrew Bergman
Irving Berlin
Sandra Bernhard
Corbin Bernsen
Elmer Bernstein
Bernardo Bertolucci
Bibi Besch
Daniela Bianchi
Adrian Biddle
Kathryn Bigelow
Theodore Bikel
Whit Bissell
Karen Black
Shane Black
Cate Blanchett
Brenda Blethyn
Joan Blondell
Hart Bochner
Peter Bogdanovich
Ward Bond
Lisa Bonet
Jan de Bont
John Boorman
Powers Boothe
Barry Bostwick
Timothy Bottoms
Carole Bouquet
Stephen Boyd
Danny Boyle
Lorraine Bracco
Eric Braeden
Benjamin Bratt
Lloyd Bridges
Jim Broadbent
Josh Brolin
Albert Brooks
James L. Brooks
Jerry Bruckheimer
Geneviève Bujold
Billie Burke
Raymond Burr
Ellen Burstyn
LeVar Burton
Gary Busey
Jake Busey
James Caan
Jane Campion
John Candy
Dyan Cannon
Frank Capra
Kate Capshaw
Capucine
Irene Cara
Claudia Cardinale
Harry Carey Jr.
Robert Carlyle
David Carradine
John Carradine
Robert Carradine
Katrin Cartlidge
Veronica Cartwright
Dana Carvey
John Cassavetes
Nick Cassavetes
Seymour Cassel
Joanna Cassidy
Maxwell Caulfield
Jim Caviezel
John Cazale
Marilyn Chambers
Lon Chaney Jr.
Geraldine Chaplin
Josh Charles
Maggie Cheung
Julie Christie
Michael Cimino
Montgomery Clift
Ethan Coen
Joel Coen
Claudette Colbert
Dabney Coleman
Toni Collette
Joan Collins
Robbie Coltrane
Chris Columbus
Jeffrey Combs
Harry Connick Jr.
Sofia Coppola
Bud Cort
Joseph Cotten
Courteney Cox
Ronny Cox
Peter Coyote
Joan Crawford
Richard Crenna
Bing Crosby
Lindsay Crouse
Cameron Crowe
Billy Crudup
Ice Cube
Lee Curreri
Peter Cushing
John Dahl
Roald Dahl
Timothy Dalton
Rodney Dangerfield
Jeff Daniels
Blythe Danner
Ted Danson
Joe Dante
Frank Darabont
Linda Darnell
Stacey Dash
Jaye Davidson
Embeth Davidtz
Andrew Davis
Judy Davis
Warwick Davis
Bruce Davison
Vittorio De Sica
Ellen DeGeneres
Cecil B. DeMille
Benicio Del Toro
Alain Delon
Ted Demme
Judi Dench
Brian Dennehy
John Derek
Bruce Dern
William Devane
Philip K. Dick
Kevin Dillon
Richard Donner
James Doohan
Stephen Dorff
Patty Duke
Keir Dullea
Faye Dunaway
Griffin Dunne
Charles Durning
Charles S. Dutton
Shelley Duvall
Bob Dylan
Buddy Ebsen
Aaron Eckhart
Blake Edwards
Jenna Elfman
Hector Elizondo
Denholm Elliott
Noah Emmerich
Nora Ephron
Adam Sandler
Jeff Fahey
Douglas Fairbanks Jr.
Dennis Farina
Mia Farrow
William Faulkner
Marty Feldman
Abel Ferrara
Miguel Ferrer
Joseph Fiennes
Mike Figgis
Albert Finney
Tara Fitzgerald
Fionnula Flanagan
Gary Fleder
Ian Fleming
Errol Flynn
James Foley
Megan Follows
Peter Fonda
Glenn Ford
Milos Forman
John Forsythe
William Forsythe
Meg Foster
John Frankenheimer
Dennis Franz
Stephen Frears
Matt Frewer
William Friedkin
Dan Futterman
Charlotte Gainsbourg
Peter Gallagher
James Gandolfini
Greta Garbo
Ava Gardner
James Garner
Rebecca Gayheart
Ben Gazzara
Sarah Michelle Gellar
Estelle Getty
Cynthia Gibb
Lillian Gish
Philip Glass
Scott Glenn
William Goldman
Tony Goldwyn
Louis Gossett Jr.
Elliott Gould
Heather Graham
Kelsey Grammer
Stewart Granger
Richard E. Grant
Rupert Graves
Seth Green
Graham Greene
Lorne Greene
Thomas Ian Griffith
John Grisham
Christopher Guest
Carla Gugino
Fred Gwynne
Lukas Haas
Philip Baker Hall
Geri Horner
Marcia Gay Harden
Oliver Hardy
Renny Harlin
Mark Harmon
Richard Harris
Rex Harrison
Josh Hartnett
Howard Hawks
Sterling Hayden
Todd Haynes
Robert Hays
John Heard
Tippi Hedren
Van Heflin
Katherine Heigl
Brian Helgeland
Marg Helgenberger
Carrie Henn
Jim Henson
Barbara Hershey
Werner Herzog
Jennifer Love Hewitt
Benny Hill
George Roy Hill
Terence Hill
Walter Hill
Ciarán Hinds
Paul Hogan
Hal Holbrook
Sterling Holloway
Tobe Hooper
Bob Hope
Bob Hoskins
Whitney Houston
Leslie Howard
C. Thomas Howell
Ernie Hudson
Rock Hudson
Tom Hulce
Bonnie Hunt
Linda Hunt
Kim Hunter
Olivia Hussey
Anjelica Huston
John Huston
Jim Hutton
Peter Hyams
David Hyde Pierce
Ice-T
Eric Idle
Michael Jackson
Peter Jackson
Derek Jacobi
Richard Jaeckel
Mick Jagger
Brion James
Jenna Jameson
Angelina Jolie
Neil Jordan
Madeline Kahn
Janusz Kaminski
Carol Kane
Lawrence Kasdan
Elia Kazan
Catherine Keener
Brian Keith
David Keith
Sally Kellerman
DeForest Kelley
George Kennedy
Udo Kier
Ben Kingsley
Greg Kinnear
Klaus Kinski
Takeshi Kitano
Charlie Korsmo
Kris Kristofferson
Lisa Kudrow
Neil LaBute
Anthony LaPaglia
Ricki Lake
Martin Landau
Nathan Lane
Jessica Lange
Frank Langella
Angela Lansbury
Queen Latifah
Charles Laughton
Piper Laurie
Martin Lawrence
Matt LeBlanc
James Le Gros
Cloris Leachman
Denis Leary
Mimi Leder
Jason Scott Lee
Janet Leigh
Kay Lenz
Elmore Leonard
Sergio Leone
Jared Leto
Barry Levinson
Jerry Lewis
Jet Li
Laura Linney
John Lithgow
Robyn Lively
Carole Lombard
Shelley Long
Myrna Loy
Sidney Lumet
Kelly Lynch
Adrian Lyne
Melanie Lynskey
Ralph Macchio
Amy Madigan
Tobey Maguire
Karl Malden
Louis Malle
Luis Mandoki
Joe Mantegna
Penny Marshall
Dean Martin
Strother Martin
Lee Marvin
Tim Matheson
Victor Mature
Catherine McCormack
Dylan McDermott
Mary McDonnell
Roddy McDowall
Paul McGann
John C. McGinley
Elizabeth McGovern
Don McKellar
John McTiernan
Dale Midkiff
Toshirô Mifune
Ray Milland
Jonny Lee Miller
Hayley Mills
Rachel Miner
Jay Mohr
Gretchen Mol
Ricardo Montalban
Dudley Moore
Mary Tyler Moore
Agnes Moorehead
Rick Moranis
Cathy Moriarty
Pat Morita
Ennio Morricone
David Morse
Viggo Mortensen
Mike Newell
Mike Nichols
Connie Nielsen
Chuck Norris
Edward Norton
Kim Novak
Catherine O'Hara
Michael O'Keefe
Heather O'Rourke
Maureen O'Sullivan
Annette O'Toole
Edward James Olmos
Jerry Orbach
Joanna Pacula
Alan J. Pakula
Jack Palance
Michael Palin
Chazz Palminteri
Joe Pantoliano
Anna Paquin
Anne Parillaud
Michael Paré
Mandy Patinkin
Robert Patrick
Will Patton
Guy Pearce
Sam Peckinpah
Amanda Peet
Barry Pepper
Matthew Perry
Lori Petty
Elizabeth Peña
Mekhi Phifer
Joaquin Phoenix
Danny Pintauro
Oliver Platt
Christopher Plummer
Sidney Poitier
Sydney Pollack
Sarah Polley
Teri Polo
William Powell
Priscilla Presley
Vincent Price
Jürgen Prochnow
Alex Proyas
Richard Pryor
Randy Quaid
Aidan Quinn
Claude Rains
Charlotte Rampling
Basil Rathbone
Stephen Rea
Ronald Reagan
Donna Reed
Oliver Reed
Robert Reed
Christopher Reeve
Rob Reiner
Judge Reinhold
Paul Reiser
James Remar
Debbie Reynolds
Jonathan Rhys Meyers
Miranda Richardson
Natasha Richardson
Diana Rigg
Jason Robards
Chris Rock
Robert Rodriguez
Nicolas Roeg
Robert Romanus
George A. Romero
Mickey Rooney
Katharine Ross
Gena Rowlands
Jennifer Runyon
Geoffrey Rush
Eva Marie Saint
George Sanders
Julian Sands
Chris Sarandon
John Savage
Telly Savalas
Roy Scheider
Maximilian Schell
Rob Schneider
Paul Schrader
Joel Schumacher
David Schwimmer
Annabella Sciorra
Izabella Scorupco
George C. Scott
Tony Scott
Kyra Sedgwick
Rufus Sewell
Tom Shadyac
Tony Shalhoub
Omar Sharif
Robert Shaw
Craig Sheffer
Sam Shepard
Cybill Shepherd
Talia Shire
Martin Short
O.J. Simpson
Bryan Singer
Lori Singer
Marc Singer
Tom Sizemore
