# id,beta
860,1.07215
861,2.80846
862,1.54851
863,3.14793
864,1.02105
865,2.91727
866,1.07205
867,6.91331
868,1.30547
869,2.19296
870,2.32050
871,4.10587
872,2.00027
873,1.00218
874,1.01134
875,14.88143
876,1.00437
877,2.59924
878,3.51272
879,2.33240
880,1.24403
881,2.52865
882,2.15116
883,1.53281
884,1.17464
885,1.03947
886,1.05881
887,3.89208
888,1.41766
889,1.67917
890,3.56154
891,1.20869
892,1.71647
893,1.52787
894,2.07600
895,1.11036
896,1.23648
897,1.02067
898,10.99538
899,1.99875
900,1.52529
901,1.07680
902,1.03143
903,2.61548
904,1.25859
905,2.84528
906,2.67549
907,2.39688
908,1.62159
909,2.02072
910,1.60587
911,1.52379
912,1.13247
913,1.16131
914,1.36675
915,1.36753
916,1.33785
917,10.09993
918,85.05278
919,4.52926
920,1.77219
921,1.03590
922,1.03847
923,4.28965
924,1.00426
925,3.09553
926,1.01150
927,2.39474
928,1.05721
929,14.59883
930,1.98316
931,21.83599
932,1.55880
933,2.11915
934,2.18821
935,1.08795
936,1.58620
937,1.36415
938,1.79606
939,3.35701
940,1.14401
941,1.58296
942,1.37273
943,1.36883
944,1.12364
945,1.56823
946,2.02834
947,2.06649
948,1.40430
949,3.50975
950,5.28585
951,1.67878
952,1.52641
953,23.05393
954,11.51593
955,5.46366
956,1.88190
957,3.59450
958,12.55372
959,1.79041
960,1.54784
961,5.77263
962,14.35462
963,6.62504
964,3.56396
965,1.02801
966,1.01612
967,15.18188
968,1.08212
969,2.52902
970,4.33259
971,1.63968
972,3.01071
973,2.14741
974,4.54046
975,3.61019
976,1.25624
977,2.39946
978,2.56475
979,2.06666
980,1.03174
981,7.25439
982,19.14149
983,4.86829
984,4.21026
985,2.65062
986,2.04402
987,2.71781
988,1.29794
989,1.17701
990,1.65807
991,1.63165
992,0.97687
993,2.84904
994,5.15375
995,1.47138
996,1.67551
997,1.26248
998,2.37343
999,1.06973
1000,1.39536
1001,1.00323
1002,1.00938
1003,5.30603
1004,1.02216
1005,11.46412
1006,86.13402
1007,2.70328
1008,5.27449
1009,3.10273
1010,6.82873
1011,1.11417
