2920 58 58 3
34 25 [0.0, 0.0, 0.0] 
34 26 [0.05746518 0.45882302 0.4837118 ] 
34 27 [0.0, 0.0, 0.0] 
8 24 [0.20255619 0.43487261 0.3625712 ] 
8 25 [0.0, 0.0, 0.0] 
8 26 [0.22776636 0.3953594  0.37687424] 
8 27 [0.0, 0.0, 0.0] 
27 24 [0.0, 0.0, 0.0] 
27 25 [0.0, 0.0, 0.0] 
27 26 [0.4130529  0.41883981 0.1681073 ] 
27 27 [0.15063766 0.4254397  0.42392264] 
21 24 [0.27569891 0.42582997 0.29847112] 
21 25 [0.0, 0.0, 0.0] 
21 26 [0.08231459 0.45000153 0.46768388] 
21 27 [0.0, 0.0, 0.0] 
17 28 [0.0, 0.0, 0.0] 
17 29 [0.12108822 0.43258375 0.44632803] 
17 30 [0.0, 0.0, 0.0] 
17 31 [0.0, 0.0, 0.0] 
0 28 [0.0, 0.0, 0.0] 
0 29 [0.22846646 0.42393073 0.34760281] 
0 30 [0.2628387  0.41386375 0.32329755] 
0 31 [0.11267557 0.44027609 0.44704834] 
28 28 [0.0, 0.0, 0.0] 
28 29 [0.0, 0.0, 0.0] 
28 30 [0.11761265 0.45808633 0.42430101] 
28 31 [0.0, 0.0, 0.0] 
29 28 [0.0, 0.0, 0.0] 
29 29 [0.16780382 0.4631574  0.36903877] 
29 30 [0.10281518 0.44786067 0.44932416] 
29 31 [0.04714394 0.46814195 0.48471411] 
22 28 [0.0, 0.0, 0.0] 
22 29 [0.0, 0.0, 0.0] 
22 30 [0.08822244 0.43504731 0.47673024] 
22 31 [0.27985551 0.39626203 0.32388246] 
18 28 [0.0, 0.0, 0.0] 
18 29 [0.0, 0.0, 0.0] 
18 30 [0.5026178 0.3778783 0.1195039] 
18 31 [0.0, 0.0, 0.0] 
20 28 [0.095931   0.42332158 0.48074741] 
20 29 [0.0, 0.0, 0.0] 
20 30 [0.21975134 0.44741986 0.3328288 ] 
20 31 [0.12011915 0.4340116  0.44586925] 
37 28 [0.0658044  0.45746384 0.47673175] 
