# id,alpha
217,3.14031
218,3.52905
219,2.67601
220,3.03513
221,2.34767
222,2.91934
223,2.41144
224,2.93139
225,2.14645
226,3.85939
227,2.85302
228,2.85947
229,3.37467
230,3.53754
231,2.83163
232,3.14487
233,4.41922
234,5.43878
235,3.39084
236,1.51252
237,2.88735
238,2.16729
239,2.51789
240,2.50014
241,5.64001
242,3.36792
243,4.84424
244,3.19550
245,4.20921
246,3.31898
247,2.28304
248,2.96975
249,2.47824
250,2.74029
251,4.24693
252,3.96429
253,3.20457
254,2.79949
255,2.63658
256,2.33437
257,2.03597
258,2.77357
259,3.05763
260,3.58919
261,2.83722
262,2.91145
263,2.55448
264,1.90529
265,4.26450
266,2.38329
267,3.68347
268,3.54828
269,2.89547
270,2.52757
271,3.58172
272,2.97061
273,3.16064
274,3.18122
275,2.10447
276,3.69095
277,2.99717
278,2.65988
279,7.29583
280,1.70935
281,2.92986
282,2.69939
283,3.11487
284,3.67299
285,3.30653
286,3.91339
287,3.35943
288,2.81025
289,3.15224
290,2.89608
291,1.62318
292,3.03182
293,7.74115
294,2.48642
295,3.32577
296,3.45853
297,2.61502
298,2.20044
299,8.16170
300,1.44551
301,3.42022
302,3.46822
303,2.10381
304,2.86653
305,3.09160
306,2.64964
307,2.58559
308,4.37061
309,3.58668
310,2.44427
311,2.86977
312,4.45250
313,2.43543
314,2.92041
315,3.01014
316,2.44469
317,3.69184
318,2.90611
319,3.04350
320,2.60687
321,2.89193
322,3.15069
323,2.02143
324,2.27458
325,2.47965
326,2.47558
327,3.51719
328,2.44957
329,8.80046
330,2.41523
331,5.66606
332,3.40469
333,3.57939
334,2.66680
335,3.40498
336,2.55852
337,3.25064
338,2.65637
339,1.74239
340,2.37749
341,4.06951
342,1.45667
343,2.82348
344,4.19362
345,3.09382
346,2.29200
347,3.31315
348,2.54939
349,2.81996
350,3.89099
351,2.84904
352,3.28173
353,2.80978
354,3.70503
355,2.03704
356,3.16514
357,3.65964
358,2.71183
359,2.96609
360,4.08883
361,4.48021
362,2.19638
363,2.92569
364,3.24340
365,2.10451
366,2.10438
367,4.06288
368,2.51159
369,2.73509
370,3.75179
371,2.33812
372,8.19234
373,3.67889
374,2.69339
375,2.96588
376,2.83980
377,3.39530
378,3.65933
379,3.07040
380,4.42363
381,2.71602
382,3.69032
383,3.81739
384,3.64812
385,7.45955
386,2.37404
387,3.16872
388,3.37667
389,2.68560
390,2.45372
391,1.02442
392,3.25672
393,2.12857
394,2.55305
395,6.68348
396,5.96455
397,2.40941
398,3.33744
399,3.33045
400,2.42914
401,4.20210
402,1.76457
403,3.33832
404,3.55401
405,4.11844
406,2.38178
407,3.25313
408,6.23813
409,4.00657
410,3.40883
411,3.51604
412,2.07803
413,3.95514
414,3.86705
415,4.20135
416,2.34911
417,2.28579
418,2.91448
419,4.45293
420,3.62271
421,3.26473
422,4.80769
423,3.69633
424,2.90376
425,1.80911
426,2.31323
427,2.63693
428,3.49782
429,2.57746
430,2.47920
431,2.97372
432,7.72573
433,2.16613
434,3.19258
435,3.47634
436,2.93649
437,2.63781
438,2.79326
439,4.33657
440,2.86768
441,1.85414
442,2.66112
443,3.58278
444,2.42307
445,3.25247
446,2.41321
447,1.97138
448,3.04711
449,3.05337
450,2.81586
451,5.69794
452,2.73531
453,2.33213
454,5.19664
455,3.27159
456,3.29834
457,3.36981
458,2.35835
459,7.51419
460,3.09014
461,3.04829
462,2.25087
463,3.94756
464,4.05889
465,3.07385
466,3.95724
467,4.25851
468,2.78074
469,2.77053
470,2.64457
471,2.58325
472,3.03722
473,2.35717
474,3.29209
475,3.07458
476,2.69141
477,3.04459
478,3.05727
479,7.21127
480,4.40209
481,1.83014
482,3.26096
483,1.70105
484,4.26427
485,2.08008
486,3.06717
487,4.38545
488,7.53096
489,2.87763
490,4.03445
491,3.36675
492,3.09455
493,2.84763
494,3.23618
495,2.16643
496,2.96453
497,3.04865
498,3.17342
499,3.18310
500,2.63251
501,5.00345
502,5.93916
503,2.95263
504,3.86745
505,3.81372
506,3.57237
507,4.14402
508,3.89436
509,6.88822
510,3.20933
511,2.58230
512,4.03161
513,2.71992
514,3.59799
515,1.70393
516,9.77266
517,2.87822
518,2.61302
519,4.11451
520,2.85755
521,2.62604
522,4.87180
523,2.30639
524,2.63943
525,3.89183
526,2.47784
527,2.18818
528,2.10245
529,3.26019
530,2.64770
531,2.85872
532,3.63535
533,1.36025
534,3.43251
535,6.32598
536,2.12437
537,2.61126
538,3.35316
539,2.75593
540,1.65903
541,2.92790
542,2.71194
543,3.32925
544,3.22628
545,2.80549
546,2.78916
547,4.20916
548,3.06443
549,3.45503
550,2.11617
551,1.85363
552,2.95147
553,2.07058
554,3.68474
555,3.59058
556,2.48622
557,2.08992
558,3.56394
559,2.90208
560,3.51295
561,4.80252
562,2.59994
563,3.32429
564,2.76035
565,2.72393
566,3.76571
567,3.86164
568,2.39384
569,4.12710
570,2.69831
571,6.68758
572,4.12783
573,1.48121
574,3.42186
575,2.81155
576,3.35900
577,2.46468
578,5.87394
579,2.24171
580,2.69769
581,3.50220
582,3.75813
583,2.62479
584,2.20305
585,2.57277
586,2.51573
587,2.77641
588,3.54961
589,3.12937
590,2.37922
591,3.44503
592,3.52265
593,3.17783
594,4.50562
595,2.69635
596,2.29476
597,6.93288
598,3.56098
599,2.37323
600,2.92142
601,2.47388
602,4.36525
603,2.33914
604,2.86742
605,1.57760
